BenchmarkEncode_AllTypes_32    	 1000000	       178.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_AllTypes_32    	 1000000	       182.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_AllTypes_32    	 1000000	       178.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_AllTypes_32    	 1000000	       178.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_AllTypes_32    	 1000000	       175.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_AllTypes_32    	 1000000	       181.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_AllTypes_32    	 1000000	       182.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_AllTypes_32    	 1000000	       177.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_AllTypes_32    	 1000000	       177.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_AllTypes_32    	 1000000	       183.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Small_32       	 1000000	        71.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Small_32       	 1000000	        71.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Small_32       	 1000000	        72.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Small_32       	 1000000	        71.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Small_32       	 1000000	        71.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Small_32       	 1000000	        71.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Small_32       	 1000000	        71.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Small_32       	 1000000	        71.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Small_32       	 1000000	        72.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Small_32       	 1000000	        71.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Medium_32      	 1000000	       181.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Medium_32      	 1000000	       184.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Medium_32      	 1000000	       184.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Medium_32      	 1000000	       184.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Medium_32      	 1000000	       184.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Medium_32      	 1000000	       184.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Medium_32      	 1000000	       188.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Medium_32      	 1000000	       184.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Medium_32      	 1000000	       184.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Medium_32      	 1000000	       188.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Deep_32        	 1000000	       742.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Deep_32        	 1000000	       741.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Deep_32        	 1000000	       757.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Deep_32        	 1000000	       741.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Deep_32        	 1000000	       741.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Deep_32        	 1000000	       741.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Deep_32        	 1000000	       735.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Deep_32        	 1000000	       742.5 ns/op	       0 B/op	       0 allocs/op
