BenchmarkEncode_AllTypes_32    	 1000000	       656.8 ns/op	      56 B/op	       4 allocs/op
BenchmarkEncode_AllTypes_32    	 1000000	       657.4 ns/op	      56 B/op	       4 allocs/op
BenchmarkEncode_AllTypes_32    	 1000000	       655.2 ns/op	      56 B/op	       4 allocs/op
BenchmarkEncode_AllTypes_32    	 1000000	       655.8 ns/op	      56 B/op	       4 allocs/op
BenchmarkEncode_AllTypes_32    	 1000000	       654.8 ns/op	      56 B/op	       4 allocs/op
BenchmarkEncode_AllTypes_32    	 1000000	       655.5 ns/op	      56 B/op	       4 allocs/op
BenchmarkEncode_AllTypes_32    	 1000000	       656.4 ns/op	      56 B/op	       4 allocs/op
BenchmarkEncode_AllTypes_32    	 1000000	       653.8 ns/op	      56 B/op	       4 allocs/op
BenchmarkEncode_AllTypes_32    	 1000000	       654.0 ns/op	      56 B/op	       4 allocs/op
BenchmarkEncode_AllTypes_32    	 1000000	       655.3 ns/op	      56 B/op	       4 allocs/op
BenchmarkEncode_Small_32       	 1000000	       188.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Small_32       	 1000000	       190.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Small_32       	 1000000	       189.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Small_32       	 1000000	       190.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Small_32       	 1000000	       189.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Small_32       	 1000000	       189.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Small_32       	 1000000	       190.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Small_32       	 1000000	       191.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Small_32       	 1000000	       189.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Small_32       	 1000000	       191.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Medium_32      	 1000000	       738.0 ns/op	      24 B/op	       2 allocs/op
BenchmarkEncode_Medium_32      	 1000000	       735.2 ns/op	      24 B/op	       2 allocs/op
BenchmarkEncode_Medium_32      	 1000000	       734.7 ns/op	      24 B/op	       2 allocs/op
BenchmarkEncode_Medium_32      	 1000000	       734.6 ns/op	      24 B/op	       2 allocs/op
BenchmarkEncode_Medium_32      	 1000000	       734.6 ns/op	      24 B/op	       2 allocs/op
BenchmarkEncode_Medium_32      	 1000000	       736.1 ns/op	      24 B/op	       2 allocs/op
BenchmarkEncode_Medium_32      	 1000000	       735.6 ns/op	      24 B/op	       2 allocs/op
BenchmarkEncode_Medium_32      	 1000000	       733.0 ns/op	      24 B/op	       2 allocs/op
BenchmarkEncode_Medium_32      	 1000000	       733.3 ns/op	      24 B/op	       2 allocs/op
BenchmarkEncode_Medium_32      	 1000000	       733.7 ns/op	      24 B/op	       2 allocs/op
BenchmarkEncode_Deep_32        	 1000000	      2242 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Deep_32        	 1000000	      2265 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Deep_32        	 1000000	      2246 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Deep_32        	 1000000	      2243 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Deep_32        	 1000000	      2289 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Deep_32        	 1000000	      2246 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Deep_32        	 1000000	      2243 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Deep_32        	 1000000	      2236 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Deep_32        	 1000000	      2263 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Deep_32        	 1000000	      2292 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncode_Map_32         	 1000000	      7376 ns/op	      32 B/op	       3 allocs/op
BenchmarkEncode_Map_32         	 1000000	      7416 ns/op	      32 B/op	       3 allocs/op
BenchmarkEncode_Map_32         	 1000000	      7400 ns/op	      32 B/op	       3 allocs/op
BenchmarkEncode_Map_32         	 1000000	      7392 ns/op	      32 B/op	       3 allocs/op
BenchmarkEncode_Map_32         	 1000000	      7383 ns/op	      32 B/op	       3 allocs/op
BenchmarkEncode_Map_32         	 1000000	      7430 ns/op	      32 B/op	       3 allocs/op
BenchmarkEncode_Map_32         	 1000000	      7419 ns/op	      32 B/op	       3 allocs/op
BenchmarkEncode_Map_32         	 1000000	      7395 ns/op	      32 B/op	       3 allocs/op
BenchmarkEncode_Map_32         	 1000000	      7333 ns/op	      32 B/op	       3 allocs/op
BenchmarkEncode_Map_32         	 1000000	      7342 ns/op	      32 B/op	       3 allocs/op
BenchmarkEncode_Large_32       	   22914	    157431 ns/op	    4832 B/op	     402 allocs/op
BenchmarkEncode_Large_32       	   22873	    157523 ns/op	    4832 B/op	     402 allocs/op
BenchmarkEncode_Large_32       	   22929	    156933 ns/op	    4832 B/op	     402 allocs/op
BenchmarkEncode_Large_32       	   23019	    156794 ns/op	    4832 B/op	     402 allocs/op
BenchmarkEncode_Large_32       	   22831	    157616 ns/op	    4832 B/op	     402 allocs/op
BenchmarkEncode_Large_32       	   22958	    157013 ns/op	    4832 B/op	     402 allocs/op
BenchmarkEncode_Large_32       	   23053	    156336 ns/op	    4832 B/op	     402 allocs/op
BenchmarkEncode_Large_32       	   22928	    158278 ns/op	    4832 B/op	     402 allocs/op
BenchmarkEncode_Large_32       	   22706	    158947 ns/op	    4832 B/op	     402 allocs/op
BenchmarkEncode_Large_32       	   22600	    158024 ns/op	    4832 B/op	     402 allocs/op
BenchmarkEncode_Document_32    	   96252	     37527 ns/op	     159 B/op	      12 allocs/op
BenchmarkEncode_Document_32    	   95941	     37541 ns/op	     159 B/op	      12 allocs/op
BenchmarkEncode_Document_32    	   95782	     37552 ns/op	     159 B/op	      12 allocs/op
BenchmarkEncode_Document_32    	   95818	     37514 ns/op	     159 B/op	      12 allocs/op
BenchmarkEncode_Document_32    	   95812	     37544 ns/op	     159 B/op	      12 allocs/op
BenchmarkEncode_Document_32    	   96094	     37524 ns/op	     159 B/op	      12 allocs/op
BenchmarkEncode_Document_32    	   96162	     37400 ns/op	     159 B/op	      12 allocs/op
BenchmarkEncode_Document_32    	   96290	     37393 ns/op	     159 B/op	      12 allocs/op
BenchmarkEncode_Document_32    	   96241	     37375 ns/op	     159 B/op	      12 allocs/op
BenchmarkEncode_Document_32    	   96158	     37392 ns/op	     159 B/op	      12 allocs/op
